Temp(degC),Salinity(PSU),pH,DO(mg/l),precipitation(mm),Air_temp(degC)
25.60423275,34.06518200,8.31645670,8.19434862,0.00102000,28.05861086
25.62933680,34.07633760,8.29514120,8.15585508,0.00102000,28.01119562
25.76497700,34.06543300,8.31169378,8.15327892,0.00102000,27.98819165
25.75885200,34.04657457,8.30234344,8.15697951,0.00102000,27.99687117
25.77053314,34.04666671,8.31064864,8.21673501,0.00102000,27.68392726
25.70449429,34.05099971,8.30274570,8.22151706,0.00102000,27.96710876
25.77407729,34.03088129,8.28855327,8.25195173,0.00102000,27.38066840
25.74897043,34.05226214,8.28748921,8.21917206,0.00102000,26.89405584
25.74654671,34.04709414,8.28891710,8.21085351,0.00102000,26.59982247
25.63108486,34.05652014,8.27028946,8.18491847,0.00102000,26.48375856
25.59109129,34.09196314,8.27318096,8.16449703,0.00102000,27.06374364
25.61973700,34.10151271,8.26440554,8.06214536,0.00102000,26.38311552
25.65183386,34.10464629,8.27547084,8.02151283,0.00102000,26.40291396
25.66562900,34.11909929,8.26219441,7.97094400,0.00102000,26.79329345
25.64906729,34.11400014,8.24721204,7.94158837,0.00102000,27.10395532
25.60814743,34.10624200,8.26112841,7.91804190,0.00102000,26.12260749
25.58903271,34.10464200,8.25730091,7.88406327,0.00102000,26.45919106
25.57040514,34.08385786,8.25055546,7.87728061,0.00102000,25.83374204
25.51854714,34.07678943,8.25108953,7.92058824,0.00102000,25.81864747
25.52320571,34.07413371,8.24244167,7.91107894,0.00102000,25.97158069
25.42417071,34.09361514,8.26464923,7.85642346,0.00102000,25.59146672
25.41402357,34.09974371,8.28140910,7.83674827,0.00102000,24.98883751
25.45301186,34.12759186,8.27154691,7.77999436,0.00102000,26.16064858
25.49516314,34.11384929,8.29048749,7.75208754,0.00102000,25.56919408
25.50377500,34.10241114,8.30059956,7.70433997,0.00102000,25.75367891
25.56460814,34.09967671,8.30923193,7.67773766,0.00102000,25.61081081
