========================================
  海水养殖水质数据分析系统 - 报告
  生成时间: 2026-06-25 19:14:15
========================================

【预警报告】

  预警总数: 85

时间                 类型                       数值   处理建议
------------------------------------------------------------------------
2025-01-30 03:00       亚缺氧                    3.6098   Turn on bottom aerator.
2025-01-31 03:00       亚缺氧                    3.5819   Turn on bottom aerator.
2025-02-02 03:00       亚缺氧                    3.5165   Turn on bottom aerator.
2025-02-10 03:00       亚缺氧                    3.5327   Turn on bottom aerator.
2025-02-11 03:00       严重缺氧                 2.4403   Add granular oxygen immediately and reduce feeding.
2025-02-12 03:00       严重缺氧                 2.4539   Add granular oxygen immediately and reduce feeding.
2025-02-13 03:00       严重缺氧                 1.8618   Add granular oxygen immediately and reduce feeding.
2025-02-14 03:00       严重缺氧                 1.3293   Add granular oxygen immediately and reduce feeding.
2025-02-15 03:00       严重缺氧                 1.3240   Add granular oxygen immediately and reduce feeding.
2025-02-16 03:00       严重缺氧                 1.8050   Add granular oxygen immediately and reduce feeding.
2025-02-17 03:00       严重缺氧                 2.9906   Add granular oxygen immediately and reduce feeding.
2025-02-19 03:00       严重缺氧                 0.9932   Add granular oxygen immediately and reduce feeding.
2025-02-20 03:00       严重缺氧                 2.5274   Add granular oxygen immediately and reduce feeding.
2025-02-21 03:00       严重缺氧                 2.5567   Add granular oxygen immediately and reduce feeding.
2025-02-22 03:00       严重缺氧                 2.3543   Add granular oxygen immediately and reduce feeding.
2025-02-23 03:00       严重缺氧                 1.8164   Add granular oxygen immediately and reduce feeding.
2025-02-24 03:00       严重缺氧                 1.3232   Add granular oxygen immediately and reduce feeding.
2025-02-25 03:00       严重缺氧                 0.8859   Add granular oxygen immediately and reduce feeding.
2025-02-26 03:00       严重缺氧                 1.4169   Add granular oxygen immediately and reduce feeding.
2025-02-27 03:00       严重缺氧                 1.0635   Add granular oxygen immediately and reduce feeding.
2025-02-28 03:00       严重缺氧                 1.4757   Add granular oxygen immediately and reduce feeding.
2025-03-01 03:00       严重缺氧                 2.9483   Add granular oxygen immediately and reduce feeding.
2025-03-02 03:00       严重缺氧                 2.9372   Add granular oxygen immediately and reduce feeding.
2025-03-03 03:00       亚缺氧                    3.3512   Turn on bottom aerator.
2025-03-04 03:00       严重缺氧                 1.4063   Add granular oxygen immediately and reduce feeding.
